timestamp,strategy_id,side,price,quantity,z,notional,gf_before,gf_after,commission,order_id,limit_price
2025-08-29T04:00:25.688000+00:00,032e3b5b,sell,25.111,1.0,1,25.111,24.58,25.08,,32213676458,25.08
2025-08-29T07:50:35.828000+00:00,032e3b5b,buy,24.21,2.0,1,48.42,25.08,24.58,,32217306561,24.58
2025-08-29T09:20:29.787000+00:00,032e3b5b,buy,23.757,2.0,1,47.514,24.58,24.08,,32219649582,24.08
2025-08-29T16:30:24.250000+00:00,032e3b5b,buy,23.58,2.0,1,47.16,24.08,23.58,,32230807317,23.58
2025-08-31T09:15:07.976000+00:00,032e3b5b,sell,24.136,2.0,1,48.272,23.58,24.08,,32261323604,24.08
2025-09-01T00:45:16.295000+00:00,032e3b5b,buy,23.371,2.0,1,46.742,24.08,23.58,,32273254018,23.58
2025-09-01T04:55:39.217000+00:00,032e3b5b,buy,23.001,2.0,1,46.002,23.58,23.08,,32278006196,23.08
2025-09-01T08:30:51.779000+00:00,032e3b5b,sell,23.9365,2.0,1,47.873,23.08,23.58,,32282281534,23.58
2025-09-01T09:45:37.077000+00:00,032e3b5b,sell,24.207,2.0,1,48.414,23.58,24.08,,32283911020,24.08
2025-09-03T06:40:40.354000+00:00,032e3b5b,sell,24.594,2.0,1,49.188,24.08,24.58,,32330585602,24.58
2025-09-03T08:35:49.314000+00:00,032e3b5b,sell,25.102,1.0,1,25.102,24.58,25.08,,32333576310,25.08
2025-09-04T17:30:32.914000+00:00,032e3b5b,buy,24.535,2.0,1,49.07,25.08,24.58,,32363231904,24.58,
2025-09-05T01:25:39.155000+00:00,032e3b5b,buy,23.997,2.0,1,47.994,24.58,24.08,,32369205540,24.08,
2025-09-05T01:25:39.155000+00:00,032e3b5b,buy,23.997,2.0,1,47.994,24.58,24.08,,32369205540,24.08,
2025-09-05T08:10:56.488000+00:00,032e3b5b,sell,24.79,2.0,1,49.58,24.08,24.58,,32374277225,24.58,
2025-09-05T08:10:56.488000+00:00,032e3b5b,sell,24.79,2.0,1,49.58,24.08,24.58,,32374277225,24.58,
2025-09-08T09:52:41.474000+00:00,032e3b5b,sell,25.26,1.0,1,25.26,24.58,25.08,,32422566102,25.08,
2025-09-08T17:35:55.632000+00:00,032e3b5b,sell,25.667,1.0,1,25.667,25.08,25.58,,32430498852,25.58,
2025-09-09T02:40:48.661000+00:00,032e3b5b,buy,25.076,1.0,1,25.076,25.58,25.08,,32438541521,25.08,
2025-09-09T07:25:13.273000+00:00,032e3b5b,sell,25.975,1.0,1,25.975,25.08,25.58,,32443998742,25.58,
2025-09-10T07:05:15.894000+00:00,032e3b5b,sell,26.826,1.0,1,26.826,25.921,26.421,,32470757359,26.421,
2025-09-10T13:35:42.400000+00:00,032e3b5b,sell,28.527,7.0,4,199.68900000000002,26.421,28.421,,32481211460,28.421,
2025-09-10T22:10:20.098000+00:00,032e3b5b,sell,29.16,1.0,1,29.16,28.421,28.921,,32495493096,28.921,
2025-09-14T01:12:41.429000+00:00,032e3b5b,sell,29.876,1.0,1,29.876,28.968,29.468,,32588483764,29.468,
2025-09-15T09:05:35.901000+00:00,032e3b5b,buy,28.479,1.0,1,28.479,29.385,28.885,,32631318658,28.885,
